Animal1,244,248,135,149,-1,-1,123,123,183,187,137,139
Animal2,264,330,135,143,171,171,-1,-1,-1,-1,133,139
Animal3,264,270,135,143,171,203,-1,-1,-1,-1,137,139
Animal4,264,330,133,135,171,203,-1,-1,-1,-1,133,139
Animal5,264,270,133,135,171,203,-1,-1,-1,-1,137,139
Animal6,264,270,135,143,171,203,-1,-1,-1,-1,133,139
Animal7,264,270,133,135,171,203,-1,-1,-1,-1,133,139
Animal8,-1,-1,133,135,171,203,-1,-1,-1,-1,133,139
Animal9,264,270,135,143,171,171,-1,-1,-1,-1,137,139
Animal10,230,248,133,175,189,189,-1,-1,-1,-1,133,141
Animal11,230,248,173,175,189,189,-1,-1,-1,-1,133,141
Animal12,230,248,133,175,161,189,-1,-1,-1,-1,-1,-1
Animal13,230,346,173,175,161,189,-1,-1,-1,-1,133,141
